trip_id,pickup_location,drop_location,pickup_time,distance_km,fare,driver_id
TRIP-2870,Viman Nagar,Koregaon Park,2025-07-31T16:09:20.056180,9.82,172.42,DR-7939
TRIP-2899,Shivajinagar,Wakad,2025-07-31T16:09:21.065584,10.31,154.32,DR-1124
TRIP-8288,Shivajinagar,Viman Nagar,2025-07-31T16:09:22.074814,6.32,114.4,DR-5895
TRIP-7185,Viman Nagar,Baner,2025-07-31T16:08:16.565074,9.02,144.36,DR-5907
TRIP-2582,Shivajinagar,Baner,2025-07-31T16:08:17.570983,7.42,128.09,DR-3185
TRIP-1338,Baner,Swargate,2025-07-31T16:08:18.576037,13.83,218.99,DR-5578
TRIP-5127,Hinjewadi,Shivajinagar,2025-07-31T16:08:19.587802,8.45,134.42,DR-2794
TRIP-1054,Baner,Koregaon Park,2025-07-31T16:08:20.603897,4.41,91.43,DR-2767
TRIP-9438,Baner,Wakad,2025-07-31T16:08:21.611702,3.93,87.67,DR-4967
TRIP-4810,Viman Nagar,Baner,2025-07-31T16:08:22.612994,5.25,96.35,DR-5261
TRIP-5938,Baner,Swargate,2025-07-31T16:08:23.616720,4.55,81.26,DR-1531
TRIP-4023,Viman Nagar,Hinjewadi,2025-07-31T16:08:24.620722,12.7,199.57,DR-3608
TRIP-7038,Baner,Shivajinagar,2025-07-31T16:08:25.628820,12.77,216.03,DR-4105
TRIP-1151,Hinjewadi,Wakad,2025-07-31T16:08:26.637581,11.41,203.1,DR-4727
TRIP-7384,Hinjewadi,Shivajinagar,2025-07-31T16:08:27.642140,4.66,87.06,DR-7902
TRIP-8414,Kothrud,Viman Nagar,2025-07-31T16:08:28.651612,9.24,171.99,DR-4442
TRIP-2609,Baner,Swargate,2025-07-31T16:08:29.664699,10.22,152.13,DR-3954
TRIP-8505,Koregaon Park,Wakad,2025-07-31T16:08:30.666285,7.41,131.69,DR-3663
TRIP-5631,Shivajinagar,Swargate,2025-07-31T16:08:31.676453,12.78,186.1,DR-1675
TRIP-9061,Kothrud,Koregaon Park,2025-07-31T16:08:32.681415,3.32,79.61,DR-3790
TRIP-5716,Koregaon Park,Shivajinagar,2025-07-31T16:08:33.685125,9.16,135.64,DR-4985
TRIP-2016,Shivajinagar,Kothrud,2025-07-31T16:08:34.700199,10.41,147.94,DR-2474
TRIP-4687,Wakad,Viman Nagar,2025-07-31T16:08:35.709996,7.08,139.1,DR-4513
TRIP-3997,Kothrud,Hinjewadi,2025-07-31T16:08:36.713505,9.63,148.58,DR-9435
TRIP-9678,Viman Nagar,Wakad,2025-07-31T16:08:37.723048,14.74,232.58,DR-2569
TRIP-6919,Wakad,Viman Nagar,2025-07-31T16:08:38.736131,7.73,138.71,DR-7226
TRIP-6663,Koregaon Park,Hinjewadi,2025-07-31T16:08:39.748997,8.01,138.44,DR-8033
TRIP-1604,Kothrud,Koregaon Park,2025-07-31T16:08:40.756581,3.08,80.12,DR-9839
TRIP-5880,Kothrud,Wakad,2025-07-31T16:08:41.763108,8.66,123.81,DR-3416
TRIP-1216,Kothrud,Baner,2025-07-31T16:08:42.763810,7.17,128.2,DR-6428
TRIP-6873,Baner,Koregaon Park,2025-07-31T16:08:43.768171,14.76,192.63,DR-7455
TRIP-4447,Viman Nagar,Hinjewadi,2025-07-31T16:08:44.784340,5.71,113.85,DR-3729
TRIP-9819,Viman Nagar,Hinjewadi,2025-07-31T16:08:45.788940,12.88,172.24,DR-7211
TRIP-2581,Kothrud,Shivajinagar,2025-07-31T16:08:46.795542,4.52,102.14,DR-6983
TRIP-1359,Baner,Koregaon Park,2025-07-31T16:08:47.803485,12.81,170.22,DR-6561
TRIP-7574,Hinjewadi,Wakad,2025-07-31T16:08:48.807744,3.79,73.54,DR-9630
TRIP-4485,Kothrud,Shivajinagar,2025-07-31T16:08:49.810945,10.74,154.93,DR-5867
TRIP-6222,Hinjewadi,Wakad,2025-07-31T16:08:50.812940,9.39,144.88,DR-4806
TRIP-6557,Koregaon Park,Wakad,2025-07-31T16:08:51.825578,14.04,234.37,DR-3956
TRIP-9982,Baner,Viman Nagar,2025-07-31T16:08:52.837421,11.33,157.82,DR-5395
TRIP-9399,Viman Nagar,Shivajinagar,2025-07-31T16:08:53.844159,7.79,132.6,DR-2569
TRIP-5751,Viman Nagar,Kothrud,2025-07-31T16:08:54.848316,8.38,125.89,DR-6254
TRIP-9881,Viman Nagar,Baner,2025-07-31T16:08:55.853100,10.08,165.71,DR-7423
TRIP-5489,Shivajinagar,Viman Nagar,2025-07-31T16:08:56.868754,10.3,168.83,DR-4565
TRIP-3509,Shivajinagar,Baner,2025-07-31T16:08:57.881625,4.35,95.46,DR-4359
TRIP-7999,Baner,Kothrud,2025-07-31T16:08:58.887136,11.68,177.22,DR-9364
TRIP-9871,Kothrud,Baner,2025-07-31T16:08:59.898518,7.13,123.13,DR-4474
TRIP-2043,Hinjewadi,Shivajinagar,2025-07-31T16:09:00.914595,12.8,199.93,DR-4144
TRIP-9022,Baner,Wakad,2025-07-31T16:09:01.921704,3.85,91.42,DR-3617
TRIP-8520,Viman Nagar,Hinjewadi,2025-07-31T16:09:02.927242,14.18,244.99,DR-4010
TRIP-1803,Hinjewadi,Viman Nagar,2025-07-31T16:09:03.932915,9.31,156.54,DR-9253
TRIP-6740,Baner,Swargate,2025-07-31T16:09:04.936865,4.71,85.29,DR-9709
TRIP-6635,Kothrud,Swargate,2025-07-31T16:09:05.944584,12.02,193.62,DR-1802
TRIP-1030,Koregaon Park,Shivajinagar,2025-07-31T16:09:06.959054,8.86,152.39,DR-1341
TRIP-4128,Swargate,Hinjewadi,2025-07-31T16:09:07.964760,3.93,75.04,DR-1348
TRIP-9555,Swargate,Hinjewadi,2025-07-31T16:09:08.967901,11.0,187.61,DR-2800
TRIP-2875,Baner,Wakad,2025-07-31T16:09:09.974122,14.2,245.64,DR-5236
TRIP-1808,Koregaon Park,Kothrud,2025-07-31T16:09:10.983131,7.8,141.15,DR-8306
TRIP-5380,Baner,Viman Nagar,2025-07-31T16:09:11.992810,3.23,70.88,DR-8742
TRIP-2940,Kothrud,Koregaon Park,2025-07-31T16:09:12.997326,4.19,79.01,DR-1951
TRIP-4180,Swargate,Wakad,2025-07-31T16:09:14.011435,12.52,196.88,DR-8814
TRIP-5516,Swargate,Koregaon Park,2025-07-31T16:09:15.022883,13.55,231.11,DR-5203
TRIP-8491,Swargate,Shivajinagar,2025-07-31T16:09:16.024640,8.78,125.59,DR-8839
TRIP-8976,Shivajinagar,Baner,2025-07-31T16:09:17.034429,9.76,172.83,DR-4904
TRIP-9578,Viman Nagar,Wakad,2025-07-31T16:09:18.036939,8.43,121.8,DR-8490
TRIP-6074,Kothrud,Viman Nagar,2025-07-31T16:09:19.042491,5.97,104.93,DR-1947
TRIP-6070,Swargate,Shivajinagar,2025-07-31T16:09:23.088152,11.87,154.26,DR-4842
TRIP-5514,Hinjewadi,Wakad,2025-07-31T16:09:24.232330,11.94,203.02,DR-2306
TRIP-1068,Shivajinagar,Swargate,2025-07-31T16:09:25.239956,14.48,211.74,DR-5270
TRIP-8764,Wakad,Kothrud,2025-07-31T16:09:26.252292,14.34,230.22,DR-9938
TRIP-5633,Kothrud,Koregaon Park,2025-07-31T16:09:27.265360,8.81,148.06,DR-5282
TRIP-4639,Koregaon Park,Hinjewadi,2025-07-31T16:09:28.280758,5.7,110.04,DR-8897
TRIP-2473,Wakad,Baner,2025-07-31T16:09:29.281174,13.12,212.95,DR-9719
TRIP-7317,Shivajinagar,Swargate,2025-07-31T16:09:30.292787,13.49,228.13,DR-5825
TRIP-2765,Kothrud,Baner,2025-07-31T16:09:31.294246,9.76,168.93,DR-3667
TRIP-4374,Baner,Wakad,2025-07-31T16:09:32.309080,9.07,135.11,DR-1516
TRIP-1027,Shivajinagar,Viman Nagar,2025-07-31T16:09:33.312765,4.01,85.7,DR-1946
TRIP-1569,Viman Nagar,Baner,2025-07-31T16:09:34.324821,3.95,77.97,DR-4135
TRIP-3109,Koregaon Park,Wakad,2025-07-31T16:09:35.328051,6.54,125.43,DR-6923
TRIP-1523,Shivajinagar,Viman Nagar,2025-07-31T16:09:36.340291,5.79,116.77,DR-5626
TRIP-9031,Swargate,Wakad,2025-07-31T16:09:37.355996,8.93,128.31,DR-6063
TRIP-9077,Wakad,Kothrud,2025-07-31T16:09:38.368797,4.33,98.75,DR-9523
TRIP-4155,Swargate,Wakad,2025-07-31T16:09:39.369145,6.38,128.84,DR-2639
TRIP-6097,Hinjewadi,Baner,2025-07-31T16:09:40.374843,13.9,224.88,DR-5626
TRIP-2458,Shivajinagar,Wakad,2025-07-31T16:09:41.378176,6.36,121.52,DR-2049
TRIP-7053,Koregaon Park,Viman Nagar,2025-07-31T16:09:42.378386,12.28,211.62,DR-1141
TRIP-5368,Kothrud,Swargate,2025-07-31T16:09:43.382461,3.93,79.84,DR-4827
TRIP-3398,Shivajinagar,Swargate,2025-07-31T16:09:44.389667,8.06,123.15,DR-9921
